numer_klatki,marker_id,x0,y0,x1,y1,x2,y2,x3,y3,srodek_x,srodek_y,tvec_x,tvec_y,tvec_z
508,157,2626.0,1755.0,2666.0,1784.0,2664.0,1870.0,2624.0,1838.0,2645,1811,,,
530,157,2632.0,1604.0,2674.0,1635.0,2672.0,1719.0,2631.0,1687.0,2652,1661,,,
591,62,882.0,1099.0,883.0,1068.0,917.0,1068.0,919.0,1100.0,900,1083,,,
597,38,1184.0,817.0,1163.0,839.0,1154.0,783.0,1170.0,762.0,1167,800,,,
606,38,2148.0,1410.0,2146.0,1360.0,2155.0,1357.0,2158.0,1407.0,2151,1383,,,
783,163,1226.0,1006.0,1228.0,1037.0,1117.0,1045.0,1117.0,1006.0,1172,1023,,,
784,38,2505.0,1112.0,2503.0,1061.0,2525.0,1056.0,2527.0,1110.0,2515,1084,,,
1145,157,3371.0,914.0,3437.0,905.0,3440.0,979.0,3375.0,987.0,3405,946,,,
1149,157,3368.0,893.0,3438.0,884.0,3440.0,960.0,3370.0,967.0,3404,926,,,
1181,234,2658.0,682.0,2659.0,723.0,2638.0,734.0,2637.0,693.0,2648,708,,,
